id_user;hits;rate;age;gender;region;province;years_study;status;guess;start_date;end_date
1019;46;76.66666667;37;male;madrid;madrid;17;7;60;13/07/2020 14:32;13/07/2020 14:42
1020;48;80;33;male;madrid;madrid;15;6;70;13/07/2020 14:34;13/07/2020 14:42
1021;30;50;39;female;catalunya;barcelona;19;7;70;13/07/2020 14:36;13/07/2020 14:45
1022;30;50;42;female;catalunya;barcelona;19;6;50;13/07/2020 14:37;13/07/2020 14:45
1023;34;56.66666667;28;female;castilla_leon;salamanca;21;7;70;13/07/2020 14:43;13/07/2020 14:51
1026;32;53.33333333;50;male;madrid;madrid;13;5;50;13/07/2020 14:48;13/07/2020 14:56
1029;34;56.66666667;61;female;madrid;madrid;19;5;40;13/07/2020 14:53;13/07/2020 15:03
1031;24;40;55;female;catalunya;tarragona;19;8;70;13/07/2020 14:57;13/07/2020 15:06
1034;30;50;62;female;pais_vasco;vizcaya;14;2;20;13/07/2020 15:02;13/07/2020 15:12
1035;31;51.66666667;26;male;catalunya;tarragona;19;6;60;13/07/2020 15:04;13/07/2020 15:13
1037;31;51.66666667;26;male;catalunya;tarragona;19;7;70;13/07/2020 15:06;13/07/2020 15:16
1038;33;55;31;female;madrid;madrid;19;6;60;13/07/2020 15:10;13/07/2020 15:17
1040;31;51.66666667;54;female;madrid;madrid;11;6;50;13/07/2020 15:10;13/07/2020 15:19
1041;30;50;51;female;madrid;madrid;3;3;30;13/07/2020 15:09;13/07/2020 15:19
1042;39;65;26;male;catalunya;tarragona;22;4;70;13/07/2020 15:12;13/07/2020 15:20
1043;32;53.33333333;70;male;madrid;madrid;20;6;60;13/07/2020 15:11;13/07/2020 15:21
1044;19;31.66666667;36;female;pais_vasco;vizcaya;18;5;50;13/07/2020 15:11;13/07/2020 15:22
1046;40;66.66666667;32;male;castilla_mancha;guadalajara;13;5;60;13/07/2020 15:16;13/07/2020 15:25
1048;42;70;42;male;out;out;19;8;70;13/07/2020 15:19;13/07/2020 15:27
1050;37;61.66666667;43;female;madrid;madrid;19;10;80;13/07/2020 15:21;13/07/2020 15:29
1053;32;53.33333333;26;female;catalunya;tarragona;19;6;70;13/07/2020 15:25;13/07/2020 15:34
1054;38;63.33333333;41;female;aragon;zaragoza;19;7;70;13/07/2020 15:28;13/07/2020 15:35
1055;28;46.66666667;26;female;catalunya;tarragona;21;6;70;13/07/2020 15:25;13/07/2020 15:35
1056;34;56.66666667;40;female;aragon;zaragoza;19;6;60;13/07/2020 15:28;13/07/2020 15:35
1057;36;60;39;male;canarias;las_palmas;19;7;70;13/07/2020 15:25;13/07/2020 15:35
