Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6365471e5370a124da7fd0ce,60b248c15f0283f2beac486d,APPROVED,2022-11-04T17:08:48.740000Z,2022-11-04T17:10:59.149000Z,2022-11-08T19:59:47.464000,2022-11-04T17:11:00.883979Z,131,C4DAS9DL,40,20,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6365481948b8f240e9a5873a,612ea863f9f13cef59a0dd99,APPROVED,2022-11-04T17:13:00.692000Z,2022-11-04T17:14:47.919000Z,2022-11-08T20:00:07.928000,2022-11-04T17:14:49.191249Z,108,C4DAS9DL,1388,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
636548913db1520f2e596828,5f8540198cda9f2191682047,APPROVED,2022-11-04T17:15:00.308000Z,2022-11-04T17:16:00.242000Z,2022-11-08T20:00:08.037000,2022-11-04T17:16:00.834375Z,60,C4DAS9DL,168,24,Female,White,United States,United States,United States,English,No,Part-Time
636548d1451fbf02365388ed,60fde1373528bb0609bd16b8,APPROVED,2022-11-04T17:16:22.322000Z,2022-11-04T17:19:03.577000Z,2022-11-08T20:00:08.146000,2022-11-04T17:19:03.969841Z,162,C4DAS9DL,540,21,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
636548f7f1dd90bbeb843dc4,61411975e7331decabf1db1c,APPROVED,2022-11-04T17:16:44.355000Z,2022-11-04T17:18:39.942000Z,2022-11-08T19:59:47.554000,2022-11-04T17:18:40.397469Z,116,C4DAS9DL,860,35,Male,Asian,India,United States,India,English,DATA_EXPIRED,DATA_EXPIRED
6365494e648b922d140566e5,61670b499c1bc22ba3a7b588,APPROVED,2022-11-04T17:18:10.895000Z,2022-11-04T17:20:00.126000Z,2022-11-08T19:59:47.644000,2022-11-04T17:20:00.947217Z,110,C4DAS9DL,474,46,Male,White,United States,United States,United States,English,No,Full-Time
636552443c493c89f7749b09,633ca231a0f680acc10ca356,APPROVED,2022-11-04T17:56:25.876000Z,2022-11-04T17:57:59.737000Z,2022-11-08T19:59:47.735000,2022-11-04T17:58:00.104244Z,94,C4DAS9DL,40,47,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6365527bb2fd3e70a4999fca,5a0a03fa074b190001251b3c,APPROVED,2022-11-04T17:57:16.929000Z,2022-11-04T17:59:05.393000Z,2022-11-08T19:59:47.824000,2022-11-04T17:59:06.894497Z,109,C4DAS9DL,2697,33,Male,White,United States,United States,United States,English,No,Full-Time
636552c1559f637438d03c00,5c3471a13ce2c80001115cf0,APPROVED,2022-11-04T17:58:29.492000Z,2022-11-04T17:59:41.782000Z,2022-11-08T20:00:08.255000,2022-11-04T17:59:44.197214Z,73,C4DAS9DL,704,32,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
636552f6a0bd68a6092c9363,5d90c4fadf90b6001549561e,APPROVED,2022-11-04T17:59:21.806000Z,2022-11-04T18:01:02.215000Z,2022-11-08T20:00:08.367000,2022-11-04T18:01:02.586012Z,101,C4DAS9DL,2158,53,Female,White,United States,United States,United States,English,No,Full-Time
636553251c966fa01f19d472,5dd0952dade46216691820cc,APPROVED,2022-11-04T18:00:16.830000Z,2022-11-04T18:03:18.201000Z,2022-11-08T20:00:08.479000,2022-11-04T18:03:18.963359Z,182,C4DAS9DL,973,82,Female,White,United States,United States,Norway,English,DATA_EXPIRED,DATA_EXPIRED
63655333e5ba58a271819dd8,60fe2901cd9b6b9ee71849ee,APPROVED,2022-11-04T18:00:38.229000Z,2022-11-04T18:02:52.747000Z,2022-11-08T19:59:47.911000,2022-11-04T18:02:53.170573Z,135,C4DAS9DL,108,21,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6365536f0851551a5d2c9396,62695575c92e508d9232fd1a,REJECTED,2022-11-04T18:01:41.043000Z,2022-11-04T18:11:14.338000Z,2022-11-05T15:14:58.923000Z,2022-11-04T18:11:16.253000Z,574,C4DAS9DL,1146,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63655468f7d03f3ad341ae76,614eadc7ee77ba0dc503cd03,APPROVED,2022-11-04T18:06:41.922000Z,2022-11-04T18:08:16.136000Z,2022-11-08T19:59:48,2022-11-04T18:08:16.617716Z,95,C4DAS9DL,1478,44,Male,White,United States,United States,United States,English,No,Full-Time
636554ef51e1be3566f98588,5a349be43e523d000194399e,APPROVED,2022-11-04T18:07:46.608000Z,2022-11-04T18:14:05.496000Z,2022-11-08T19:59:48.088000,2022-11-04T18:14:05.937746Z,379,C4DAS9DL,494,30,Male,Black,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
