StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,id_prolific,check,assertion_7_13,assertion_7_10,assertion_13_7,assertion_13_10,assertion_10_7,assertion_10_13,assertion_29_16,assertion_29_30,assertion_16_29,assertion_16_30,assertion_30_29,assertion_30_16,assertion_33_40,assertion_33_31,assertion_40_33,assertion_40_31,assertion_31_33,assertion_31_40,question_7_13,"question_7_10 ",question_13_7,question_13_10,question_10_7,question_10_13,"question_29_16 ",question_29_30,question_16_29,"question_16_30 ",question_30_29,question_30_16,question_33_40,"question_33_31 ","question 40_33 ",question_40_31,question_31_33,question_31_40,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:     The survey will take about 2 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID,"First, imagine you are playing video games with Lisa and at some point she says:      “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with Lisa?","Do you think that Max also knows what Pluto is, now that it is not considered as a planet?",Do you think that Max also knows what is the name of the first human object that crossed the limits of our solar system?,Do you think that Max also knows what is the Earth's only natural satellite?,Do you think that Max also knows what is the name of the first human object that crossed the limits of our solar system?,Do you think that Max also knows what is the Earth's only natural satellite?,"Do you think that Max also knows what Pluto is according to scientists, now that it is not considered as a planet?",Do you think that Nadia also knows when Chirstopher Columbus discovered the Americas?,Do you think that Nadia also knows how was called the first American Constitution?,Do you think that Nadia also knows the name of the document with the first ten amendments to the Constitution that detail the protection of individual liberties?,Do you think that Nadia also know the name of the first American Constitution?,Do you think that Nadia also knows the name of the document with the first ten amendments to the Constitution that detail the protection of individual liberties?,Do you think Nadia also knows when Christopher Columbus discovered the Americas?,Do you think that Jean also knows who created Iron Man?,Do you think that Jean also knows the name of Batman's mother?,Do you think that Jean also knows the real name of Spider-Man?,Do you think that Jean also knows the name of Batman's mother?,Do you think that Jean knows the real name of Spider-Man?,Do you think that Jean knows who created the character of Iron Man?,"Do you think that Max also knows what Pluto is, now that it is not considered as a planet?",Do you think that Max also knows what is the name of the first human object that crossed the limits of our solar system?,Do you think that Max also knows what is the Earth's only natural satellite?,Do you think that Max also knows what is the name of the first human object that crossed the limits of our solar system?,Do you think that Max also knows what is the Earth's only natural satellite?,"Do you think that Max also knows what Pluto is according to scientists, now that it is not considered as a planet?",Do you think that Nadia also knows when Chirstopher Columbus discovered the Americas?,Do you think that Nadia also knows how was called the first American Constitution?,Do you think that Nadia also knows the name of the document with the first ten amendments to the Constitution that detail the protection of individual liberties?,Do you think that Nadia also know the name of the first American Constitution?,Do you think that Nadia also knows the name of the document with the first ten amendments to the Constitution that detail the protection of individual liberties?,Do you think Nadia also knows when Christopher Columbus discovered the Americas?,Do you think that Jean also knows who created Iron Man?,Do you think that Jean also knows the name of Batman's mother?,Do you think that Jean also knows the real name of Spider-Man?,Do you think that Jean also knows the name of Batman's mother?,Do you think that Jean knows the real name of Spider-Man?,Do you think that Jean knows who created the character of Iron Man?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID52""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID287""}","{""ImportId"":""QID251""}","{""ImportId"":""QID289""}","{""ImportId"":""QID253""}","{""ImportId"":""QID292""}","{""ImportId"":""QID255""}","{""ImportId"":""QID294""}","{""ImportId"":""QID315""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298""}","{""ImportId"":""QID299""}","{""ImportId"":""QID300""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID307""}","{""ImportId"":""QID308""}","{""ImportId"":""QID309""}","{""ImportId"":""QID310""}","{""ImportId"":""QID311""}","{""ImportId"":""QID312""}","{""ImportId"":""QID314""}","{""ImportId"":""QID257""}","{""ImportId"":""QID317""}","{""ImportId"":""QID318""}","{""ImportId"":""QID320""}","{""ImportId"":""QID321""}","{""ImportId"":""QID323""}","{""ImportId"":""QID324""}","{""ImportId"":""QID326""}","{""ImportId"":""QID327""}","{""ImportId"":""QID335""}","{""ImportId"":""QID336""}","{""ImportId"":""PROLIFIC_PID""}"
2022-11-04 18:08:50,2022-11-04 18:10:57,0,24.185.135.173,100,127,1,2022-11-04 18:10:57,R_ahPFzKpG9GPEg5r,,,,,40.68,-73.4425,anonymous,EN,1,60b248c15f0283f2beac486d,I pay attention,1,2,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,60b248c15f0283f2beac486d
2022-11-04 18:13:02,2022-11-04 18:14:44,0,73.22.172.138,100,102,1,2022-11-04 18:14:45,R_3ixMvQG3KGLiXpO,,,,,42.0364,-88.324,anonymous,EN,1,612ea863f9f13cef59a0dd99,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,2,1,,,,,,,1,2,612ea863f9f13cef59a0dd99
2022-11-04 18:15:03,2022-11-04 18:15:56,0,24.161.57.246,100,53,1,2022-11-04 18:15:57,R_27xwhYXje0P0dqg,,,,,41.9698,-74.0677,anonymous,EN,1,5f8540198cda9f2191682047,I pay attention,,,1,1,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,5f8540198cda9f2191682047
2022-11-04 18:16:46,2022-11-04 18:18:37,0,130.132.173.119,100,111,1,2022-11-04 18:18:38,R_XXNzJeENe8r0Jl7,,,,,41.3186,-72.9302,anonymous,EN,1,61411975e7331decabf1db1c,I pay attention,,,,,,,,,,,,,,,,,,,,,2,1,,,1,1,,,,,,,1,1,,,61411975e7331decabf1db1c
2022-11-04 18:16:24,2022-11-04 18:19:00,0,71.104.18.3,100,156,1,2022-11-04 18:19:01,R_2QMnAUW0J6NsCoj,,,,,40.0031,-74.2263,anonymous,EN,1,60fde1373528bb0609bd16b8,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,1,1,1,,,,,60fde1373528bb0609bd16b8
2022-11-04 18:18:13,2022-11-04 18:19:56,0,70.95.99.252,100,103,1,2022-11-04 18:19:57,R_2EiQBZDITFGXOdn,,,,,32.8192,-117.1002,anonymous,EN,1,61670b499c1bc22ba3a7b588,I pay attention,,,,,1,1,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,61670b499c1bc22ba3a7b588
2022-11-04 18:56:27,2022-11-04 18:57:45,0,24.186.158.231,100,77,1,2022-11-04 18:57:45,R_29gLjexmDfUOgky,,,,,40.9365,-74.0132,anonymous,EN,1,633ca231a0f680acc10ca356,I pay attention,,,1,1,,,,,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,633ca231a0f680acc10ca356
2022-11-04 18:57:18,2022-11-04 18:59:02,0,75.190.168.50,100,103,1,2022-11-04 18:59:02,R_YSxSCjTiN7t4voB,,,,,35.9825,-78.5376,anonymous,EN,1,5a0a03fa074b190001251b3c,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,2,,,5a0a03fa074b190001251b3c
