StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,id_prolific,check,assertion_36_31,assertion_36_34,assertion_36_35,assertion_36_37,assertion_36_38,assertion_36_40,assertion_36_41,assertion_36_42,assertion_36_45,assertion_32_31,assertion_32_34,assertion_32_35,assertion_32_37,assertion_32_38,assertion_32_40,assertion_32_41,assertion_32_42,assertion_32_45,assertion_33_31,assertion_33_34,assertion_33_35,assertion_33_37,assertion_33_38,assertion_33_40,assertion_33_41,assertion_33_42,assertion_33_45,question_36_31,question_36_34,question_36_35,question_36_37,question_36_38,question_36_40,question_36_41,question_36_42,question_36_45,question_32_31,question_32_34,question_32_35,question_32_37,question_32_38,question_32_40,question_32_41,question_32_42,question_32_45,question_33_31,question_33_34,question_33_35,question_33_37,question_33_38,question_33_40,question_33_41,question_33_42,question_33_45,assertion_39_31,assertion_39_34,assertion_39_35,assertion_39_37,assertion_39_38,assertion_39_40,assertion_39_41,assertion_39_42,assertion_39_45,assertion_44_31,assertion_44_34,"assertion_44_35 ",assertion_44_37,assertion_44_38,assertion_44_40,assertion_44_41,assertion_44_42,assertion_44_45,assertion_43_31,assertion_43_34,assertion_43_35,assertion_43_37,assertion_43_38,assertion_43_40,assertion_43_41,assertion_43_42,assertion_43_45,question_39_31,question_39_34,question_39_35,question_39_37,question_39_38,question_39_40,question_39_41,question_39_42,question_39_45,question_44_31,question_44_34,question_44_35,question_44_37,question_44_38,question_44_40,question_44_41,question_44_42,question_44_45,question_43_31,question_43_34,question_43_35,question_43_37,question_43_38,question_43_40,question_43_41,question_43_42,question_43_45,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:     The survey will take about 2 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID,"First, imagine you are playing video games with Lisa and at some point she says:      “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with Lisa?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",Do you think that Oscar also knows what is the name of Batman's mother?,Do you think that Oscar also knows who is the Human Torch to the Invisible Woman?,Do you think that Oscar also knows who created the character of Iron Man?,Do you think that Oscar also knows which superhero has a magic lasso and bullet-proof bracelets?,Do you think that Oscar also knows from which object Green Lantern gains his power?,Do you think that Oscar also knows which newspaper Spiderman works for?,Do you think that Oscar also knows what is the name of the archnemesis of the Fantastic Four?,Do you think that Oscar also knows what is the name of the archenemy of Aquaman?,"Do you think that Oscar also knows what is the family name of Alfred, Batman’s butler?",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID52""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID360""}","{""ImportId"":""QID361""}","{""ImportId"":""QID362""}","{""ImportId"":""QID363""}","{""ImportId"":""QID364""}","{""ImportId"":""QID365""}","{""ImportId"":""QID366""}","{""ImportId"":""QID367""}","{""ImportId"":""QID368""}","{""ImportId"":""QID371""}","{""ImportId"":""QID372""}","{""ImportId"":""QID373""}","{""ImportId"":""QID374""}","{""ImportId"":""QID375""}","{""ImportId"":""QID376""}","{""ImportId"":""QID377""}","{""ImportId"":""QID378""}","{""ImportId"":""QID379""}","{""ImportId"":""QID338""}","{""ImportId"":""QID339""}","{""ImportId"":""QID340""}","{""ImportId"":""QID341""}","{""ImportId"":""QID342""}","{""ImportId"":""QID343""}","{""ImportId"":""QID344""}","{""ImportId"":""QID345""}","{""ImportId"":""QID346""}","{""ImportId"":""QID382""}","{""ImportId"":""QID383""}","{""ImportId"":""QID384""}","{""ImportId"":""QID385""}","{""ImportId"":""QID386""}","{""ImportId"":""QID387""}","{""ImportId"":""QID388""}","{""ImportId"":""QID389""}","{""ImportId"":""QID390""}","{""ImportId"":""QID393""}","{""ImportId"":""QID394""}","{""ImportId"":""QID395""}","{""ImportId"":""QID396""}","{""ImportId"":""QID397""}","{""ImportId"":""QID398""}","{""ImportId"":""QID399""}","{""ImportId"":""QID400""}","{""ImportId"":""QID401""}","{""ImportId"":""QID349""}","{""ImportId"":""QID350""}","{""ImportId"":""QID351""}","{""ImportId"":""QID352""}","{""ImportId"":""QID353""}","{""ImportId"":""QID354""}","{""ImportId"":""QID355""}","{""ImportId"":""QID356""}","{""ImportId"":""QID357""}","{""ImportId"":""QID404""}","{""ImportId"":""QID405""}","{""ImportId"":""QID406""}","{""ImportId"":""QID407""}","{""ImportId"":""QID408""}","{""ImportId"":""QID409""}","{""ImportId"":""QID410""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID415""}","{""ImportId"":""QID416""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421""}","{""ImportId"":""QID422""}","{""ImportId"":""QID423""}","{""ImportId"":""QID426""}","{""ImportId"":""QID427""}","{""ImportId"":""QID428""}","{""ImportId"":""QID429""}","{""ImportId"":""QID430""}","{""ImportId"":""QID431""}","{""ImportId"":""QID432""}","{""ImportId"":""QID433""}","{""ImportId"":""QID434""}","{""ImportId"":""QID437""}","{""ImportId"":""QID438""}","{""ImportId"":""QID439""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID448""}","{""ImportId"":""QID449""}","{""ImportId"":""QID450""}","{""ImportId"":""QID451""}","{""ImportId"":""QID452""}","{""ImportId"":""QID453""}","{""ImportId"":""QID454""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID459""}","{""ImportId"":""QID460""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID463""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465""}","{""ImportId"":""QID466""}","{""ImportId"":""QID467""}","{""ImportId"":""PROLIFIC_PID""}"
2022-12-20 18:00:31,2022-12-20 18:02:31,0,100,120,1,2022-12-20 18:02:32,R_Q5mElmYt0X5bTzj,anonymous,EN,1,610272b792467ffae049b859,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,2,1,2,,,,,,,,,,610272b792467ffae049b859
2022-12-20 18:02:52,2022-12-20 18:04:27,0,100,95,1,2022-12-20 18:04:28,R_2vctIkFuQSC9RJB,anonymous,EN,1,5f13a4ac3263a43c3511749c,I pay attention,,,,,,,,,,2,2,2,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f13a4ac3263a43c3511749c
2022-12-20 18:12:02,2022-12-20 18:13:06,0,100,63,1,2022-12-20 18:13:07,R_22JQqorHyRg1fIR,anonymous,EN,1,60fee8f6ca1f0906f92741b7,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60fee8f6ca1f0906f92741b7
2022-12-20 18:13:22,2022-12-20 18:14:49,0,100,86,1,2022-12-20 18:14:49,R_cHNSJD1cNyD8OeB,anonymous,EN,1,611173900721df318b8151c7,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611173900721df318b8151c7
2022-12-20 18:14:18,2022-12-20 18:15:33,0,100,74,1,2022-12-20 18:15:33,R_3erBp7JXsNDnAPB,anonymous,EN,1,5deea21c3e57d1542111bea2,I pay attention,1,2,2,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5deea21c3e57d1542111bea2
2022-12-20 18:15:56,2022-12-20 18:17:06,0,100,69,1,2022-12-20 18:17:06,R_BypNdL83vEqZwt3,anonymous,EN,1,605fa46fdafbf129160d1777,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,1,1,605fa46fdafbf129160d1777
2022-12-20 18:17:22,2022-12-20 18:17:57,0,100,34,1,2022-12-20 18:17:57,R_1jke2hDbWje6Hfl,anonymous,EN,1,605fa46fdafbf129160d1777,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,605fa46fdafbf129160d1777
2022-12-20 18:15:51,2022-12-20 18:18:01,0,100,129,1,2022-12-20 18:18:01,R_2ctpXxoOhpw2T75,anonymous,EN,1,5e1ff4e6b02857317533d561,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e1ff4e6b02857317533d561
